KDE_BANDWIDTH_SCALE,label,Q,obs_deltaD,p_vs_fixed_model_null,p_vs_model_scanmax_null,null_fixed_mean,null_fixed_std,null_scanmax_mean,null_scanmax_std
0.75,dense_Q_0.585000,0.585,276.84559004298285,0.0001999600079984003,0.0001999600079984003,6.021108459137164,3.53800268308855,11.052901539714172,3.9474372190349305
0.75,dense_Q_0.580000,0.58,271.7903687605674,0.0001999600079984003,0.0001999600079984003,6.022167675725468,3.5419312460845904,11.052901539714172,3.9474372190349305
0.75,dense_Q_0.575000,0.575,265.28145512524384,0.0001999600079984003,0.0001999600079984003,6.028438684709623,3.548396520324388,11.052901539714172,3.9474372190349305
0.75,dense_Q_0.570000,0.57,257.14417175282233,0.0001999600079984003,0.0001999600079984003,6.037133912579901,3.5548106685902754,11.052901539714172,3.9474372190349305
0.75,dense_Q_0.565000,0.565,250.54248599580797,0.0001999600079984003,0.0001999600079984003,6.045919846166582,3.5587174600822586,11.052901539714172,3.9474372190349305
0.75,dense_Q_0.560000,0.56,247.96301762814687,0.0001999600079984003,0.0001999600079984003,6.053130361038857,3.562851029245439,11.052901539714172,3.9474372190349305
0.75,dense_Q_0.555000,0.555,250.8028693569122,0.0001999600079984003,0.0001999600079984003,6.057566479804245,3.5689155384032274,11.052901539714172,3.9474372190349305
0.75,dense_Q_0.550000,0.55,258.22739244794593,0.0001999600079984003,0.0001999600079984003,6.058404304245769,3.5704531695484194,11.052901539714172,3.9474372190349305
0.75,spin1_Qhalf,0.5,197.9021035873418,0.0001999600079984003,0.0001999600079984003,4.010729002591585,2.937033955079067,11.052901539714172,3.9474372190349305
0.75,spin32_Q4over9,0.4444444444444444,389.7253883236699,0.0001999600079984003,0.0001999600079984003,6.037509127043919,3.5465599169203386,11.052901539714172,3.9474372190349305
0.75,neutrino_like_Qthird,0.3333333333333333,335.132479634161,0.0001999600079984003,0.0001999600079984003,6.008122392537879,3.5374638388967643,11.052901539714172,3.9474372190349305
