"ell","q2_center","N_signal","N_Blow","N_Bhigh","N_side_combined","alpha","R_subtracted","variance","z_residual"
0.0913696399291759,1.09567393525053,20,59,40,99,0.284958979033728,-8.21093892433911,28.0389603534625,-1.55064316235273
0.113232240229844,1.11989198672234,29,62,39,101,0.284958979033728,0.219143117593436,37.2013635929264,0.0359292710623198
0.135094840530513,1.14464533797469,30,52,30,82,0.284958979033728,6.63336371923427,36.6585328180195,1.09558548919633
0.156957440831182,1.16994582091965,32,52,55,107,0.284958979033728,1.50938924339107,40.6885733113181,0.236627393326816
0.178820041131851,1.195805528994,37,73,32,105,0.284958979033728,7.07930720145852,45.5261700718542,1.04920463484343
0.200682641432519,1.22223682293988,27,60,63,123,0.284958979033728,-8.04995442114858,36.9877992270292,-1.3236226053726
0.222545241733188,1.24925233671308,44,67,46,113,0.284958979033728,11.7996353691887,53.1757830297098,1.61812340663897
0.244407842033856,1.27686498352198,26,57,48,105,0.284958979033728,-3.92069279854148,34.5261700718542,-0.667250045747699
0.266270442334525,1.30508796199998,31,54,49,103,0.284958979033728,1.64922515952598,39.3637668323903,0.262864311053186
0.288133042635194,1.33393476251434,37,48,37,85,0.284958979033728,12.7784867821331,43.9021376772153,1.92857527381356
0.309995642935863,1.36341917361445,30,70,52,122,0.284958979033728,-4.76499544211486,39.9065976072973,-0.754293106331238
0.331858243236531,1.39355528862269,31,68,49,117,0.284958979033728,-2.34020054694622,40.5005895086375,-0.367724362883694
0.3537208435372,1.42435751237091,42,70,68,138,0.284958979033728,2.67566089334549,53.2058235230084,0.366818716017654
0.375583443837869,1.4558405680858,39,63,58,121,0.284958979033728,4.51996353691887,48.8253959875653,0.646862603244264
0.397446044138537,1.48801950442655,38,85,53,138,0.284958979033728,-1.32433910665451,49.2058235230084,-0.188795201227785
0.419308644439206,1.52090970267793,36,74,64,138,0.284958979033728,-3.32433910665451,47.2058235230084,-0.483846416977198
0.441171244739875,1.55452688410244,44,70,62,132,0.284958979033728,6.38541476754786,54.7186138046167,0.863220148923356
0.463033845040543,1.58888711745497,38,78,55,133,0.284958979033728,0.100455788514125,48.7998154243487,0.0143802314889574
